,joint,frame,x1,y1,z1,x2,y2,z2,ax1,ay1,az1,ax2,ay2,az2
23,HANDRIGHT,23,-0.2,2.3,0.8,-0.1,2.0,1.2,0.0,0.0,0.0,-0.1,0.0,0.1
24,HANDRIGHT,24,-0.2,2.4,0.9,-0.1,2.0,1.2,0.0,0.1,0.1,0.0,0.0,0.0
25,HANDRIGHT,25,-0.2,2.4,0.9,-0.1,2.1,1.2,0.0,0.0,0.0,0.0,0.1,0.0
26,HANDRIGHT,26,-0.2,2.4,0.9,-0.1,2.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0
27,HANDRIGHT,27,-0.2,2.4,0.9,-0.1,2.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0
28,HANDRIGHT,28,-0.2,2.4,0.9,-0.1,2.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0
29,HANDRIGHT,29,-0.2,2.4,0.8,-0.1,2.1,1.2,0.0,0.0,-0.1,0.0,0.0,0.0
30,HANDRIGHT,30,-0.2,2.4,0.8,-0.1,2.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0
31,HANDRIGHT,31,-0.2,2.4,0.8,-0.1,2.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0
32,HANDRIGHT,32,-0.2,2.4,0.8,-0.1,2.2,1.2,0.0,0.0,0.0,0.0,0.1,0.0
33,HANDRIGHT,33,-0.2,2.4,0.8,-0.1,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
34,HANDRIGHT,34,-0.2,2.4,0.8,-0.1,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
35,HANDRIGHT,35,-0.2,2.4,0.8,-0.1,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
36,HANDRIGHT,36,-0.2,2.4,0.8,-0.2,2.2,1.2,0.0,0.0,0.0,-0.1,0.0,0.0
37,HANDRIGHT,37,-0.2,2.4,0.8,-0.2,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
38,HANDRIGHT,38,-0.2,2.5,0.8,-0.2,2.2,1.2,0.0,0.1,0.0,0.0,0.0,0.0
39,HANDRIGHT,39,-0.2,2.5,0.9,-0.2,2.2,1.2,0.0,0.0,0.1,0.0,0.0,0.0
40,HANDRIGHT,40,-0.2,2.5,0.9,-0.2,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
41,HANDRIGHT,41,-0.2,2.5,0.9,-0.2,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
42,HANDRIGHT,42,-0.2,2.5,0.9,-0.2,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
43,HANDRIGHT,43,-0.3,2.5,0.9,-0.2,2.2,1.2,-0.1,0.0,0.0,0.0,0.0,0.0
44,HANDRIGHT,44,-0.3,2.5,0.9,-0.2,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
45,HANDRIGHT,45,-0.3,2.5,0.9,-0.2,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
46,HANDRIGHT,46,-0.3,2.5,0.9,-0.2,2.3,1.2,0.0,0.0,0.0,0.0,0.1,0.0
47,HANDRIGHT,47,-0.3,2.5,0.9,-0.2,2.2,1.2,0.0,0.0,0.0,0.0,-0.1,0.0
48,HANDRIGHT,48,-0.3,2.5,0.9,-0.2,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
49,HANDRIGHT,49,-0.2,2.4,0.8,-0.1,2.2,1.2,0.1,-0.1,-0.1,0.1,0.0,0.0
50,HANDRIGHT,50,-0.2,2.4,0.8,-0.1,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
51,HANDRIGHT,51,-0.3,2.5,0.7,-0.1,2.2,1.2,-0.1,0.1,-0.1,0.0,0.0,0.0
52,HANDRIGHT,52,-0.3,2.5,0.8,-0.1,2.2,1.2,0.0,0.0,0.1,0.0,0.0,0.0
53,HANDRIGHT,53,-0.3,2.5,0.8,-0.1,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
54,HANDRIGHT,54,-0.3,2.5,0.8,-0.1,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
